NAME,latitude,longitude,per_alfalf,per_corn,per_otherH,per_peas,per_potato,per_soybea,per_swtCor,per_WWheat
Kenosha,42.581787,-88.041892,3.566717274007972,16.614607424681484,0.814701390476187,0.013705682439109,0.000489488663164,14.839378984456889,0.093514858444679,2.320712429170178
Racine,42.756642,-88.061151,3.679027325089077,17.592948096431840,0.817981741244981,0.012234740721694,0.000404565203987,16.144290087151433,0.353470227414788,3.301443642004796
Milwaukee,42.996662,-87.981162,0.467606035097258,1.324263888900981,0.129159519374699,0.006516065568438,0.000000000000000,1.723637339545146,0.009619729373012,0.338037260402222
Ozaukee,43.406037,-87.953565,8.423876636484886,14.485787166599634,0.802861732557676,0.046617944734367,0.000739967484295,9.208551755195167,0.015835303595375,3.012250452942115
Sheboygan,43.717230,-87.945173,11.089491196637669,18.176993102522147,0.591269947514565,0.158697430242169,0.001079868655872,11.577184959446148,0.106299562677487,3.720558917176522
Manitowoc,44.109697,-87.809737,15.656391803710061,21.854124124323182,0.675547374479306,0.063056855230208,0.001512433916716,7.753861923336792,0.015822385486971,3.910865863278268
Kewaunee,44.524090,-87.619097,17.685737498691847,26.454402275979739,0.558790624727848,0.016954473178739,0.000102754388249,6.455793275880744,0.003596403613454,5.136444498647320
Door,44.929323,-87.301277,6.621562214684088,10.557279447646019,1.484894703827966,0.009147940065503,0.003049313331755,5.349460014631880,0.002907484875826,3.232964220295456
Marinette,45.392578,-88.084805,3.053799992681461,4.821931579855702,0.481315414924260,0.004914567023369,0.051332651951543,1.269835681062853,0.010713755738269,0.280254497196734
Florence,45.857804,-88.395494,0.470112980654938,0.309739897952605,0.444272713240595,0.001870490965883,0.001937294212664,0.112947826077729,0.003740982392844,0.081967584895839
Forest,45.635970,-88.838237,0.334897063904437,0.237416988160376,0.362607742859370,0.004164918287540,0.009173639566908,0.103766066547986,0.009685088348980,0.037616485965707
Vilas,46.061569,-89.514917,0.072463808230934,0.068252044480157,0.055268434974492,0.000810783893423,0.048748350801922,0.037289981131666,0.001486437173466,0.004072920365531
Iron,46.284034,-90.248133,0.071117606903100,0.190457839120515,0.268840727109128,0.000000000000000,0.000170800967453,0.023105422433884,0.000042700241881,0.001622609178428
Ashland,46.289788,-90.739387,0.468993959261711,0.524564633035711,0.848420662066277,0.000000000000000,0.000299329280742,0.179195648964951,0.000299329280820,0.004090833481785
Vernon,43.574697,-90.835161,4.732378181295468,10.473974553391709,0.988152286876469,0.001188644776160,0.001133308771800,6.208344990534426,0.001358451215093,0.150712213711478
Crawford,43.246968,-90.924181,3.114570094131918,7.760872353565418,0.657522192760984,0.000079618679008,0.000779583181988,5.300290669004220,0.000659647307551,0.250991398285027
Grant,42.898541,-90.670869,5.501349499362728,18.352578260499048,0.439513181096478,0.001454932741778,0.005609106729389,10.607254861229446,0.001082867232351,0.312167866121049
Douglas,46.421099,-91.915094,0.152333017723938,0.032610091603303,0.365825569623208,0.000000000000000,0.000025516502982,0.014314758157059,0.000127582515229,0.000944110612074
Bayfield,46.485262,-91.241400,0.463781669136698,0.302276272657315,0.968159867218317,0.000068021821599,0.000000000000000,0.239362580939259,0.000589522464762,0.031856886930184
Burnett,45.876769,-92.367975,0.958164063193122,2.653899878970574,0.687278841410850,0.000000000000000,0.000038226349557,1.761310008453390,0.002025996539919,0.016055067053875
Polk,45.447046,-92.437057,3.389106693519642,11.023975088555153,1.211075854482526,0.002052220576653,0.001260135359418,6.677104045742692,0.152044325883138,0.054653870951105
La Crosse,43.897556,-91.107857,3.579948965217509,10.044902983505025,0.695415006020504,0.000072730539306,0.000945497029850,6.578185529005512,0.022109697692441,0.033623865471780
Trempealeau,44.320802,-91.352053,6.674847290378668,19.572549011494299,1.619608971274084,0.000244125955245,0.002001832851448,9.895698253482822,0.104434344658966,0.046432756403787
Buffalo,44.391939,-91.735977,6.322378157109186,15.846823355216589,0.978426566551183,0.000048596829902,0.002945026914773,7.064156933243092,0.001992470025299,0.067938365255268
Pepin,44.615500,-92.077294,7.285581254585828,20.188014282700696,0.557156157394297,0.000000000000000,0.125940723085052,12.144921891673262,0.040197980498594,0.018090058930280
Pierce,44.724669,-92.422160,7.019378321492264,22.669685777737360,0.764823654985477,0.000301145740737,0.000421604037428,13.694234746368972,0.005233370574270,0.103582580787514
Saint Croix,45.035694,-92.456702,6.196615054246238,20.563306441367729,1.099591458406390,0.000046533995124,0.000279203971058,13.400225119948086,0.077009323364302,0.066680582103152
Lafayette,42.661183,-90.131305,7.064594883856714,32.846332489383634,0.418640549765166,0.001482883985304,0.015982194070008,16.527934683813058,0.001153354201724,0.562427176318292
Green,42.680930,-89.602347,8.122419280644303,29.699648693467008,0.577677580104656,0.084182207978626,0.002325145891965,17.062889153465232,0.055266928967859,1.274329810454512
Rock,42.673844,-89.071897,4.480686507767046,33.806074132039321,0.368616083283895,0.399938924597199,0.005238205478181,21.562028095372153,0.399413130374855,1.341682165528729
Walworth,42.669959,-88.541505,4.830944386761670,28.797807042508847,0.590274479853535,0.070653589151039,0.004980451986534,16.248303740247497,0.152246428023571,1.052403005141269
Adams,43.968070,-89.774111,2.779338797909322,7.255484058724520,0.404434944085073,0.173919829287168,3.450348382641121,4.391798046658008,1.050234048137755,0.207158824024365
Portage,44.464930,-89.501325,7.016238881071342,11.917099242742109,2.229768933276564,0.814834896122079,3.776503360018939,4.496503138966361,3.267468033407439,0.258917775289495
Waushara,44.112987,-89.242813,4.167875747849364,12.459806322742523,0.854823670458333,0.560735159768006,3.250464489230997,6.335833574422314,1.451813177968080,0.388290779629423
